Unnamed: 0,building_id,meter,timestamp,meter_reading,site_id,air_temperature,cloud_coverage,dew_temperature,precip_depth_1_hr,sea_level_pressure,wind_direction,wind_speed,primary_use,square_feet,year_built,floor_count
16777087,1020,0,2016-11-02 00:00:00,86.6301,10,8.9,4.0,3.3,0.0,1016.5,350.0,3.6,Entertainment/public assembly,22101,,2.0
15143945,987,2,2016-10-04 00:00:00,228.75,9,27.8,0.0,15.6,0.0,1010.0,110.0,2.6,Education,166395,,
903842,113,0,2016-01-17 19:00:00,335.625,1,3.6,,1.5,,1023.0,120.0,4.6,Education,100481,1958.0,9.0
10190603,293,0,2016-07-07 05:00:00,777.22,3,27.2,0.0,24.4,0.0,1011.0,170.0,3.1,Office,408000,2010.0,
9600591,1176,2,2016-06-26 15:00:00,238.281,13,25.0,2.0,10.0,0.0,1014.5,250.0,5.1,Education,142672,,
17590842,221,0,2016-11-16 14:00:00,397.85,2,15.6,,1.7,0.0,1010.5,80.0,2.1,Education,204349,1993.0,
4403016,964,2,2016-03-25 09:00:00,256.2,9,7.8,0.0,5.0,0.0,1016.0,0.0,0.0,Education,130577,,
6754877,1218,1,2016-05-06 18:00:00,0.0,13,29.4,2.0,8.9,0.0,1008.0,220.0,6.7,Entertainment/public assembly,268480,,
13673200,321,0,2016-09-07 22:00:00,37.63,3,26.7,,20.0,-1.0,,,1.5,Public services,15913,,
18127109,185,0,2016-11-26 03:00:00,43.65,2,20.0,0.0,-1.1,0.0,1017.0,120.0,2.1,Education,84300,,
1094279,263,1,2016-01-21 06:00:00,176.018,2,13.3,0.0,5.0,0.0,1021.0,0.0,0.0,Education,87673,1960.0,
1069179,499,0,2016-01-20 19:00:00,858.25,3,-1.1,,-13.9,0.0,1023.5,210.0,2.1,Education,376507,2011.0,
1909107,920,2,2016-02-05 01:00:00,0.0,9,10.0,0.0,-5.6,0.0,1030.0,120.0,1.5,Education,85623,,
4096340,1225,2,2016-03-19 06:00:00,226.289,14,5.0,0.0,-3.3,0.0,1016.0,10.0,3.1,Office,122746,,
3651785,200,1,2016-03-10 11:00:00,399.76,2,14.4,,-3.3,0.0,1013.0,90.0,2.6,Entertainment/public assembly,143093,1964.0,
14105218,1311,1,2016-09-15 13:00:00,472.768,14,18.3,0.0,8.9,0.0,1024.0,30.0,4.1,Lodging/residential,66794,,
8655809,192,3,2016-06-09 16:00:00,17.5843,2,31.7,0.0,12.8,0.0,1010.5,,1.5,Education,151637,1983.0,
12792160,1137,1,2016-08-23 02:00:00,8.9131,13,25.0,2.0,15.0,0.0,1012.5,190.0,5.7,Office,27452,,
17480364,1312,0,2016-11-14 14:00:00,78.0,14,6.1,0.0,-2.8,0.0,1018.0,220.0,4.1,Lodging/residential,75000,,
14020849,1428,0,2016-09-14 01:00:00,58.95,15,17.8,4.0,15.6,,1018.5,0.0,0.0,Education,28432,1933.0,
16799977,1172,0,2016-11-02 10:00:00,309.973,13,5.0,,3.9,0.0,1019.5,0.0,0.0,Manufacturing/industrial,63847,,
6013679,1003,0,2016-04-23 13:00:00,84.0,10,13.3,,1.7,0.0,999.5,190.0,8.8,Education,94751,,3.0
11539286,1191,1,2016-07-31 08:00:00,1972.54,13,20.0,,17.2,0.0,1015.5,140.0,2.6,Education,192152,,
9672812,1227,0,2016-06-27 22:00:00,55.0222,14,28.3,,13.3,0.0,1014.0,200.0,3.6,Education,76903,,
16930308,518,0,2016-11-04 18:00:00,308.28,3,17.2,2.0,3.3,0.0,1023.0,360.0,6.7,Public services,555243,1941.0,
15826177,62,0,2016-10-16 02:00:00,573.078,0,24.4,,22.2,3.0,1019.5,60.0,5.1,Lodging/residential,42731,2001.0,
19458566,1258,3,2016-12-20 04:00:00,3180.45,14,-5.0,0.0,-13.3,0.0,1038.0,350.0,1.5,Education,273234,,
9314290,7,1,2016-06-21 13:00:00,5571.77,0,25.6,4.0,18.3,0.0,1021.0,30.0,3.1,Education,121074,1989.0,
1021458,732,0,2016-01-19 22:00:00,30.0,5,-2.0,0.0,-3.0,,,80.0,2.1,Education,66187,1976.0,1.0
7140888,1433,0,2016-05-13 15:00:00,36.65,15,16.7,,15.0,5.0,1009.0,230.0,3.1,Education,28084,1913.0,
207474,986,0,2016-01-04 22:00:00,0.0,9,13.9,0.0,0.0,0.0,1026.0,,2.1,Office,34072,,
15762134,907,0,2016-10-14 22:00:00,25.0,9,30.0,0.0,18.9,0.0,1016.0,,2.1,Entertainment/public assembly,44564,,
12248621,32,0,2016-08-13 07:00:00,593.145,0,23.9,4.0,22.8,0.0,1017.0,0.0,0.0,Office,48392,2005.0,
871984,281,0,2016-01-17 05:00:00,30.9,2,13.9,,1.1,0.0,1020.0,310.0,2.1,Food sales and service,28862,,
17066488,761,0,2016-11-07 04:00:00,11.0972,6,8.3,0.0,3.3,0.0,1028.0,0.0,0.0,Entertainment/public assembly,52534,,
2785645,83,0,2016-02-22 04:00:00,0.0,0,18.3,,13.3,0.0,1020.0,0.0,0.0,Other,2070,1996.0,
10094231,1232,2,2016-07-05 11:00:00,0.0,14,23.3,,21.7,10.0,1008.0,280.0,1.5,Education,181328,,
2142002,973,0,2016-02-09 06:00:00,130.0,9,8.3,0.0,-6.7,0.0,1028.0,320.0,2.6,Office,193960,,
4323363,1129,2,2016-03-23 19:00:00,0.0,13,-0.6,9.0,-3.3,-1.0,,60.0,8.2,Office,133100,,
13324633,1137,0,2016-09-01 17:00:00,26.0,13,21.7,2.0,10.6,0.0,1026.0,140.0,3.6,Office,27452,,
14675533,1136,0,2016-09-25 17:00:00,31.739,13,18.3,,11.7,0.0,1012.0,250.0,6.2,Office,79782,,
1096382,285,0,2016-01-21 07:00:00,546.04,2,12.2,0.0,5.0,0.0,1021.5,100.0,3.1,Utility,21958,,
4291736,200,1,2016-03-23 04:00:00,344.018,2,21.7,,-6.1,0.0,1009.0,290.0,6.7,Entertainment/public assembly,143093,1964.0,
13552950,145,0,2016-09-05 19:00:00,21.437,1,21.1,,19.7,,1021.0,220.0,3.1,Office,14219,,4.0
6538874,981,2,2016-05-02 22:00:00,192.15,9,17.2,,10.0,0.0,1018.5,,2.6,Education,167055,,
10944175,825,0,2016-07-20 16:00:00,7.4583,8,31.7,4.0,22.2,0.0,1021.0,60.0,4.1,Public services,3592,,1.0
2219161,1137,1,2016-02-10 16:00:00,0.0,13,-14.4,,-21.1,0.0,1022.5,20.0,3.6,Office,27452,,
2915854,1100,2,2016-02-24 18:00:00,5531.25,13,2.8,8.0,-2.2,0.0,1016.0,10.0,4.1,Lodging/residential,174924,,
4990307,1382,2,2016-04-05 07:00:00,2545.25,15,-12.2,0.0,-15.6,,1024.0,350.0,1.5,Public services,243072,1965.0,
13780211,1086,0,2016-09-09 19:00:00,376.377,13,22.2,,16.7,0.0,1012.0,130.0,1.5,Office,143973,,
17206258,226,1,2016-11-09 16:00:00,158.399,2,23.9,2.0,2.2,0.0,1020.5,80.0,5.7,Office,74180,1930.0,
19196725,995,0,2016-12-15 13:00:00,39.0,9,7.8,,5.6,0.0,1028.0,20.0,2.1,Education,46230,,
19267271,830,0,2016-12-16 19:00:00,11.8333,8,25.6,4.0,13.9,0.0,1021.0,80.0,5.1,Warehouse/storage,15120,,1.0
18049680,560,0,2016-11-24 18:00:00,311.66,3,12.8,6.0,1.1,0.0,1021.5,0.0,0.0,Office,340000,2010.0,
12589180,215,0,2016-08-19 12:00:00,42.61,2,28.9,8.0,13.9,-1.0,1006.5,350.0,1.5,Lodging/residential,36406,1940.0,
2179474,1296,3,2016-02-09 22:00:00,58.2036,14,0.0,,-2.2,-1.0,,70.0,1.5,Office,8836,,
3718139,956,0,2016-03-11 18:00:00,56.0,9,17.2,,15.6,-1.0,1014.0,0.0,0.0,Office,86167,,
20013292,796,0,2016-12-30 00:00:00,614.89,7,-3.2,,-3.7,4.0,998.0,330.0,1.0,Education,226042,1965.0,2.0
16860849,1323,1,2016-11-03 12:00:00,298.799,14,11.1,9.0,10.6,0.0,1015.0,210.0,1.5,Office,87200,,
18852420,1018,1,2016-12-09 11:00:00,0.0,10,-1.7,,-2.8,0.0,1024.0,260.0,1.5,Education,186840,,2.0
15636563,249,0,2016-10-12 17:00:00,415.25,2,26.7,,1.7,0.0,1014.0,120.0,1.5,Entertainment/public assembly,179449,1976.0,
